message_number;message_time_s;ellipse_factor;prev_real_position_0_0;prev_real_position_0_1;prev_real_position_0_2;prev_real_position_0_3;prev_real_position_1_0;prev_real_position_1_1;prev_real_position_1_2;prev_real_position_1_3;prev_real_position_2_0;prev_real_position_2_1;prev_real_position_2_2;prev_real_position_2_3;np_0_0;np_0_1;np_0_2;np_0_3;np_1_0;np_1_1;np_1_2;np_1_3;np_2_0;np_2_1;np_2_2;np_2_3;velocity_0;velocity_1;velocity_2;acceleration_0;acceleration_1;acceleration_2;angular_velocity_0;angular_velocity_1;angular_velocity_2;angular_acceleration_0;angular_acceleration_1;angular_acceleration_2;
0;0;0.986691;0.032137;0.999378;0.014503;0.783734;0.999483;-0.032123;-0.001153;2.078829;-0.000687;0.014532;-0.999894;0.187214;0.032126;0.999376;0.014654;0.783705;0.999484;-0.032123;-0.000449;2.077935;0.000022;0.014660;-0.999893;0.187215;-0.014902;0.000000;-0.000000;-0.248373;0.000000;-0.000000;-0.002133;0.011809;0.000000;-0.035557;0.196814;0.000000;
1;0.053779;0.985334;0.032394;0.999370;0.014503;0.783717;0.999475;-0.032381;-0.001133;2.078304;-0.000663;0.014532;-0.999894;0.187214;0.032105;0.999373;0.014955;0.783677;0.999483;-0.032123;0.000959;2.077046;0.001439;0.014917;-0.999888;0.187215;-0.014828;0.000000;-0.000000;0.001241;-0.000000;0.000000;-0.004270;0.023617;0.000000;-0.035604;0.196805;0.000000;
2;0.113771;0.984801;0.032671;0.999360;0.014569;0.783689;0.999466;-0.032660;-0.000992;2.077015;-0.000516;0.014594;-0.999893;0.187221;0.032073;0.999367;0.015407;0.783648;0.999479;-0.032124;0.003071;2.076161;0.003564;0.015301;-0.999877;0.187213;-0.014754;0.000000;-0.000000;0.001235;0.000000;0.000000;-0.006401;0.035426;0.000000;-0.035525;0.196820;0.000000;
3;0.173699;0.987239;0.032623;0.999355;0.014985;0.783739;0.999468;-0.032626;-0.000025;2.075753;0.000463;0.014977;-0.999888;0.187253;0.032029;0.999359;0.016008;0.783620;0.999466;-0.032126;0.005888;2.075281;0.006398;0.015811;-0.999855;0.187210;-0.014680;0.000000;-0.000000;0.001229;0.000000;0.000000;-0.008510;0.047240;0.000000;-0.035146;0.196888;0.000000;
4;0.233837;0.989398;0.032496;0.999349;0.015675;0.783847;0.999461;-0.032566;0.004204;2.075170;0.004712;0.015530;-0.999868;0.187238;0.031970;0.999348;0.016754;0.783592;0.999439;-0.032131;0.009409;2.074405;0.009942;0.016444;-0.999815;0.187205;-0.014607;0.000000;-0.000000;0.001223;0.000000;0.000000;-0.010544;0.059066;0.000000;-0.033893;0.197107;0.000000;
5;0.2937;0.989398;0.032445;0.999338;0.016483;0.783959;0.999433;-0.032588;0.008488;2.074457;0.009020;0.016198;-0.999828;0.187199;0.031897;0.999335;0.017644;0.783564;0.999390;-0.032140;0.013636;2.073533;0.014194;0.017198;-0.999751;0.187196;-0.014534;0.000000;-0.000000;0.001217;0.000000;0.000000;-0.012577;0.070892;0.000000;-0.033893;0.197107;0.000000;
6;0.353904;0.982672;0.032298;0.999324;0.017580;0.784002;0.999386;-0.032529;0.013043;2.073671;0.013606;0.017148;-0.999760;0.187220;0.031807;0.999320;0.018675;0.783536;0.999310;-0.032154;0.018569;2.072666;0.019156;0.018071;-0.999653;0.187184;-0.014461;0.000000;-0.000000;0.001210;0.000000;0.000000;-0.014558;0.082728;0.000000;-0.033019;0.197256;0.000000;
7;0.413723;0.982672;0.032138;0.999308;0.018711;0.783873;0.999309;-0.032477;0.018104;2.072876;0.018699;0.018116;-0.999661;0.187262;0.031698;0.999300;0.019847;0.783509;0.999189;-0.032175;0.024206;2.071803;0.024828;0.019063;-0.999510;0.187167;-0.014389;0.000000;-0.000000;0.001204;-0.000000;0.000000;-0.016539;0.094563;0.000000;-0.033019;0.197256;0.000000;
8;0.473909;0.982672;0.032080;0.999289;0.019816;0.783719;0.999193;-0.032544;0.023549;2.071974;0.024177;0.019044;-0.999526;0.187220;0.031567;0.999278;0.021159;0.783482;0.999014;-0.032206;0.030549;2.070945;0.031208;0.020174;-0.999309;0.187146;-0.014317;0.000000;-0.000000;0.001198;0.000000;0.000000;-0.018520;0.106398;0.000000;-0.033019;0.197256;0.000000;
9;0.541734;0.979562;0.031727;0.999274;0.021083;0.783643;0.999036;-0.032345;0.029676;2.071182;0.030336;0.020121;-0.999337;0.187211;0.031412;0.999251;0.022608;0.783455;0.998773;-0.032247;0.037596;2.070091;0.038297;0.021400;-0.999037;0.187119;-0.014245;0.000000;-0.000000;0.001192;0.000000;0.000000;-0.020446;0.118243;0.000000;-0.032094;0.197408;0.000000;
