message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
0;0;0.000000;0.783723;2.078807;0.187200;2.248935;2.177841;0.014835;
1;0.053266;0.000000;0.783723;2.078807;0.187200;2.248935;2.177841;0.014835;
2;0.113162;0.000000;0.783738;2.079200;0.187049;2.248614;2.178171;0.014833;
3;0.173167;0.000000;0.784020;2.080619;0.185856;2.248416;2.178374;0.014832;
4;0.233228;0.000000;0.784662;2.083150;0.183856;2.248161;2.178635;0.014832;
5;0.297419;0.000000;0.785339;2.085932;0.181772;2.248054;2.178744;0.014833;
6;0.360082;0.000000;0.785949;2.088470;0.179753;2.248239;2.178554;0.014837;
7;0.416024;0.000000;0.786519;2.090910;0.177758;2.248399;2.178388;0.014840;
8;0.476023;0.000000;0.787071;2.093258;0.175822;2.248596;2.178186;0.014843;
9;0.536097;0.000000;0.787636;2.095617;0.173899;2.248711;2.178067;0.014846;
10;0.596006;0.000000;0.788189;2.097971;0.171993;2.248766;2.178011;0.014848;
11;0.656004;0.000000;0.788702;2.100241;0.170135;2.248845;2.177929;0.014851;
12;0.716023;0.000000;0.789195;2.102455;0.168343;2.248882;2.177890;0.014853;
13;0.773374;0.000000;0.789741;2.104687;0.166562;2.248886;2.177886;0.014854;
14;0.833296;0.000000;0.790231;2.106828;0.164817;2.248926;2.177845;0.014856;
15;0.893097;0.000000;0.790713;2.108919;0.163120;2.248971;2.177798;0.014858;
16;0.95312;0.000000;0.791215;2.110987;0.161417;2.249014;2.177754;0.014860;
17;1.018;0.000000;0.791709;2.112996;0.159761;2.249037;2.177729;0.014862;
18;1.07311;0.000000;0.792159;2.114939;0.158128;2.249017;2.177750;0.014863;
19;1.13312;0.000000;0.792604;2.116884;0.156478;2.248973;2.177795;0.014864;
20;1.19314;0.000000;0.793016;2.118795;0.154833;2.248925;2.177844;0.014865;
21;1.25307;0.000000;0.793447;2.120596;0.153284;2.248970;2.177797;0.014867;
22;1.31302;0.000000;0.793846;2.122373;0.151741;2.249001;2.177765;0.014869;
23;1.37303;0.000000;0.794235;2.124099;0.150197;2.248990;2.177776;0.014870;
24;1.43315;0.000000;0.794609;2.125766;0.148719;2.248983;2.177782;0.014871;
25;1.49316;0.000000;0.794981;2.127435;0.147247;2.248989;2.177776;0.014872;
26;1.55325;0.000000;0.795362;2.129070;0.145822;2.249002;2.177762;0.014874;
27;1.61309;0.000000;0.795737;2.130621;0.144427;2.249029;2.177735;0.014875;
28;1.67315;0.000000;0.796052;2.132136;0.143087;2.249004;2.177760;0.014876;
29;1.73309;0.000000;0.796407;2.133585;0.141769;2.249019;2.177744;0.014877;
30;1.79352;0.000000;0.796747;2.135051;0.140505;2.248976;2.177788;0.014878;
31;1.8531;0.000000;0.797047;2.136431;0.139236;2.248959;2.177805;0.014879;
32;1.91797;0.000000;0.797344;2.137777;0.138026;2.248950;2.177815;0.014880;
33;1.97315;0.000000;0.797685;2.139099;0.136779;2.248937;2.177828;0.014881;
34;2.0331;0.000000;0.797987;2.140422;0.135563;2.248960;2.177804;0.014882;
35;2.09308;0.000000;0.798265;2.141648;0.134376;2.248996;2.177767;0.014883;
36;2.15313;0.000000;0.798519;2.142822;0.133220;2.249025;2.177736;0.014884;
37;2.21318;0.000000;0.798821;2.144017;0.132051;2.248974;2.177789;0.014885;
38;2.28006;0.000000;0.799042;2.145156;0.130907;2.248952;2.177811;0.014885;
39;2.33314;0.000000;0.799321;2.146273;0.129810;2.248962;2.177800;0.014886;
40;2.39304;0.000000;0.799567;2.147302;0.128755;2.249046;2.177714;0.014888;
41;2.45313;0.000000;0.799795;2.148357;0.127676;2.249014;2.177747;0.014888;
42;2.51305;0.000000;0.800033;2.149370;0.126633;2.249024;2.177737;0.014889;
43;2.573;0.000000;0.800245;2.150373;0.125596;2.249021;2.177739;0.014890;
44;2.63305;0.000000;0.800470;2.151368;0.124606;2.248970;2.177792;0.014890;
45;2.69306;0.000000;0.800668;2.152262;0.123645;2.248986;2.177765;0.014856;
46;2.75309;0.000000;0.800849;2.153196;0.122687;2.248963;2.177788;0.014856;
47;2.81307;0.000000;0.801057;2.154070;0.121745;2.248945;2.177806;0.014857;
48;2.87306;0.000000;0.801251;2.154926;0.120852;2.248913;2.177839;0.014857;
49;2.93305;0.000000;0.801422;2.155686;0.119983;2.248965;2.177785;0.014858;
50;2.99306;0.000000;0.801595;2.156477;0.119132;2.248960;2.177813;0.014880;
51;3.05306;0.000000;0.801752;2.157237;0.118288;2.248917;2.177857;0.014880;
52;3.11798;0.000000;0.801935;2.157989;0.117466;2.248968;2.177805;0.014881;
53;3.17309;0.000000;0.802076;2.158731;0.116657;2.248946;2.177826;0.014881;
54;3.23303;0.000000;0.802209;2.159376;0.115844;2.249021;2.177750;0.014882;
55;3.29313;0.000000;0.802358;2.160075;0.115077;2.248982;2.177789;0.014882;
56;3.36004;0.000000;0.802502;2.160745;0.114298;2.248963;2.177831;0.014903;
57;3.41312;0.000000;0.802647;2.161316;0.113567;2.248959;2.177813;0.014883;
58;3.47307;0.000000;0.802790;2.161925;0.112842;2.248956;2.177838;0.014904;
59;3.53311;0.000000;0.802915;2.162466;0.112130;2.248959;2.177835;0.014905;
60;3.59318;0.000000;0.803037;2.163007;0.111424;2.248973;2.177820;0.014905;
61;3.66008;0.000000;0.803135;2.163555;0.110712;2.248965;2.177829;0.014905;
62;3.71606;0.000000;0.803226;2.164077;0.110049;2.248942;2.177852;0.014906;
63;3.77322;0.000000;0.803312;2.164546;0.109351;2.248937;2.177858;0.014906;
64;3.83612;0.000000;0.803436;2.165009;0.108740;2.248978;2.177815;0.014907;
65;3.89606;0.000000;0.803512;2.165460;0.108071;2.248970;2.177823;0.014907;
66;3.95606;0.000000;0.803579;2.165885;0.107499;2.248912;2.177883;0.014907;
67;4.01317;0.000000;0.803665;2.166302;0.106878;2.248948;2.177845;0.014907;
