message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
0;0;0.000000;0.671326;2.006711;0.226939;1.354933;-1.170042;0.045900
1;0.0599774;0.000000;0.670476;2.008231;0.226241;1.354601;-1.169727;0.048343
2;0.120007;0.000000;0.668516;2.011186;0.224768;1.353409;-1.171763;0.048000
3;0.17998;0.000000;0.667116;2.013785;0.223485;1.352122;-1.173438;0.048921
4;0.240021;0.000000;0.665984;2.016444;0.222199;1.351111;-1.174503;0.050550
5;0.299983;0.000000;0.665055;2.019010;0.221023;1.349956;-1.175925;0.051912
6;0.360033;0.000000;0.664259;2.021575;0.219867;1.348871;-1.177129;0.053395
7;0.419996;0.000000;0.663599;2.024140;0.218792;1.347796;-1.178303;0.054833
8;0.480005;0.000000;0.663094;2.026681;0.217755;1.346648;-1.179815;0.055962
9;0.539999;0.000000;0.662731;2.029225;0.216814;1.345581;-1.181026;0.057230
10;0.6;0.000000;0.662409;2.031767;0.215911;1.344594;-1.182125;0.058717
11;0.660027;0.000000;0.662210;2.034235;0.215085;1.343533;-1.183319;0.060033
12;0.719977;0.000000;0.662096;2.036669;0.214336;1.342417;-1.184701;0.061175
13;0.77993;0.000000;0.661997;2.039091;0.213665;1.341429;-1.185700;0.062693
14;0.839924;0.000000;0.661902;2.041460;0.213028;1.340320;-1.187044;0.063850
15;0.899985;0.000000;0.661822;2.043847;0.212499;1.339263;-1.188323;0.065172
16;0.959966;0.000000;0.661801;2.046177;0.212007;1.338200;-1.189609;0.066374
17;1.01996;0.000000;0.661990;2.048429;0.211580;1.337156;-1.190689;0.067843
18;1.08002;0.000000;0.662300;2.050612;0.211213;1.336101;-1.191846;0.069177
19;1.14002;0.000000;0.662597;2.052769;0.210963;1.335015;-1.193157;0.070348
20;1.19998;0.000000;0.662908;2.054865;0.210731;1.333930;-1.194456;0.071616
21;1.25999;0.000000;0.663218;2.056897;0.210612;1.332892;-1.195686;0.072969
22;1.32002;0.000000;0.663520;2.058915;0.210524;1.331826;-1.197017;0.074171
23;1.37999;0.000000;0.663801;2.060869;0.210438;1.330791;-1.198110;0.075532
24;1.44001;0.000000;0.664057;2.062714;0.210372;1.329660;-1.199488;0.076608
25;1.50403;0.000000;0.664305;2.064494;0.210410;1.328640;-1.200465;0.078058
26;1.56399;0.000000;0.664577;2.066296;0.210727;1.327637;-1.201474;0.079515
27;1.62398;0.000000;0.664849;2.068003;0.211035;1.326518;-1.202850;0.080695
28;1.684;0.000000;0.665124;2.069658;0.211381;1.325438;-1.204111;0.081981
29;1.74601;0.000000;0.665384;2.071219;0.211770;1.324362;-1.205339;0.083210
30;1.80603;0.000000;0.665626;2.072775;0.212191;1.323333;-1.206457;0.084601
31;1.86602;0.000000;0.665835;2.074244;0.212671;1.322305;-1.207599;0.085966
32;1.92603;0.000000;0.666030;2.075640;0.213187;1.321195;-1.208966;0.087153
33;1.98599;0.000000;0.666212;2.076985;0.213692;1.320120;-1.210136;0.088438
34;2.046;0.000000;0.666425;2.078271;0.214285;1.319082;-1.211250;0.089804
35;2.10602;0.000000;0.666609;2.079499;0.214888;1.317922;-1.212632;0.090941
36;2.16601;0.000000;0.666770;2.080670;0.215544;1.316836;-1.213837;0.092138
37;2.22602;0.000000;0.666932;2.081803;0.216208;1.315825;-1.214951;0.093542
38;2.28603;0.000000;0.667063;2.082872;0.216952;1.314754;-1.216173;0.094863
39;2.34598;0.000000;0.667149;2.083876;0.217679;1.313719;-1.217294;0.096241
40;2.40597;0.000000;0.667234;2.084842;0.218418;1.312628;-1.218498;0.097479
41;2.46601;0.000000;0.667400;2.085770;0.219221;1.311542;-1.219762;0.098726
42;2.526;0.000000;0.667464;2.086627;0.220007;1.310494;-1.220869;0.100093
43;2.586;0.000000;0.667473;2.087441;0.220832;1.309366;-1.222180;0.101257
44;2.64602;0.000000;0.667500;2.088196;0.221697;1.308292;-1.223366;0.102623
45;2.70601;0.000000;0.667504;2.088921;0.222544;1.307224;-1.224528;0.103973
46;2.76602;0.000000;0.667482;2.089573;0.223409;1.306148;-1.225644;0.105301
47;2.82598;0.000000;0.667473;2.090210;0.224274;1.304995;-1.227018;0.106433
48;2.88602;0.000000;0.667461;2.090773;0.225193;1.303974;-1.228068;0.107893
49;2.94601;0.000000;0.667440;2.091329;0.226045;1.302897;-1.229228;0.109135
50;3.00601;0.000000;0.667437;2.091826;0.226976;1.301797;-1.230492;0.110389
51;3.07801;0.000000;0.667430;2.092226;0.227841;1.300696;-1.231696;0.111686
52;3.13802;0.000000;0.667414;2.092663;0.228784;1.299675;-1.232766;0.113078
53;3.19802;0.000000;0.667387;2.093064;0.229699;1.298564;-1.234039;0.114219
54;3.25804;0.000000;0.667235;2.093392;0.230583;1.297486;-1.235221;0.115599
55;3.32597;0.000000;0.666903;2.093687;0.231492;1.296376;-1.236438;0.116823
56;3.38601;0.000000;0.666684;2.093972;0.232385;1.295282;-1.237678;0.118016
57;3.44603;0.000000;0.666527;2.094219;0.233257;1.294198;-1.238842;0.119289
58;3.50599;0.000000;0.666319;2.094438;0.234176;1.293078;-1.240087;0.120583
59;3.57394;0.000000;0.666133;2.094641;0.234985;1.292056;-1.241096;0.122091
60;3.63396;0.000000;0.665961;2.094799;0.235881;1.290991;-1.242267;0.123381
61;3.69395;0.000000;0.665785;2.094913;0.236725;1.289807;-1.243644;0.124479
62;3.754;0.000000;0.665609;2.095020;0.237566;1.288675;-1.244859;0.125726
63;3.81399;0.000000;0.665430;2.095097;0.238393;1.287579;-1.246053;0.127043
64;3.87401;0.000000;0.665223;2.095152;0.239214;1.286495;-1.247187;0.128420
