message_number;message_time_s;Ellipse_factor;X;Y;Z;alfa;beta;gamma
0;0;0.000000;0.783643;2.078716;0.187158;-0.117643;3.127327;1.485263;
1;0.0520666;0.000000;0.783646;2.078721;0.187161;-0.116142;3.127316;1.486764;
2;0.112047;0.000000;0.783662;2.079191;0.187100;-0.116141;3.127316;1.486589;
3;0.173107;0.000000;0.783730;2.080924;0.186391;-0.116135;3.127314;1.486458;
4;0.232037;0.000000;0.783825;2.083663;0.185278;-0.114698;3.127314;1.487518;
5;0.29209;0.000000;0.783981;2.086353;0.184250;-0.114689;3.127311;1.487528;
6;0.352572;0.000000;0.784278;2.088911;0.183225;-0.114679;3.127309;1.487666;
7;0.412125;0.000000;0.784546;2.091344;0.182254;-0.114670;3.127307;1.487822;
8;0.472042;0.000000;0.784767;2.093667;0.181270;-0.114660;3.127305;1.487987;
9;0.532057;0.000000;0.785059;2.096024;0.180305;-0.114650;3.127303;1.488059;
10;0.594266;0.000000;0.785289;2.098315;0.179363;-0.114640;3.127301;1.488145;
11;0.652079;0.000000;0.785531;2.100513;0.178463;-0.114630;3.127299;1.488243;
12;0.712106;0.000000;0.785709;2.102711;0.177539;-0.114619;3.127297;1.488254;
13;0.772087;0.000000;0.785892;2.104911;0.176639;-0.114609;3.127295;1.488243;
14;0.834243;0.000000;0.786086;2.106983;0.175805;-0.114598;3.127293;1.488316;
15;0.892085;0.000000;0.786244;2.109005;0.174941;-0.114588;3.127291;1.488362;
16;0.962261;0.000000;0.786414;2.110984;0.174113;-0.114577;3.127290;1.488392;
17;1.01566;0.000000;0.786603;2.112871;0.173309;-0.114567;3.127288;1.488456;
18;1.07406;0.000000;0.786738;2.114791;0.172487;-0.114556;3.127286;1.488403;
19;1.1352;0.000000;0.786901;2.116679;0.171713;-0.114546;3.127285;1.488402;
20;1.19408;0.000000;0.787085;2.118516;0.170951;-0.114535;3.127283;1.488373;
21;1.25409;0.000000;0.787254;2.120216;0.170213;-0.114525;3.127282;1.488394;
22;1.31412;0.000000;0.787374;2.121916;0.169541;-0.114515;3.127280;1.488404;
23;1.37406;0.000000;0.787511;2.123563;0.168791;-0.113088;3.127282;1.489867;
24;1.43403;0.000000;0.787661;2.125196;0.168113;-0.113078;3.127280;1.489848;
25;1.49404;0.000000;0.787805;2.126813;0.167435;-0.113069;3.127279;1.489870;
26;1.55405;0.000000;0.787962;2.128379;0.166757;-0.113059;3.127278;1.489908;
27;1.61411;0.000000;0.788078;2.129850;0.166108;-0.113050;3.127276;1.489957;
28;1.67407;0.000000;0.788195;2.131336;0.165502;-0.111626;3.127278;1.491346;
29;1.73803;0.000000;0.788324;2.132714;0.164872;-0.111617;3.127277;1.491395;
30;1.79792;0.000000;0.788433;2.134135;0.164289;-0.111608;3.127276;1.491340;
31;1.85796;0.000000;0.788562;2.135497;0.163689;-0.111600;3.127275;1.491333;
32;1.91803;0.000000;0.788691;2.136834;0.163155;-0.111591;3.127273;1.491345;
33;1.97808;0.000000;0.788807;2.138153;0.162530;-0.111583;3.127272;1.491279;
