message_number;message_time_s;Ellipse_factor;X;Y;Z;alfa;beta;gamma
0;0;0.000000;0.671328;2.006711;0.226940;1.354910;-1.170089;0.045915
1;0.0599696;0.000000;0.670711;2.008359;0.226352;1.354773;-1.168954;0.049297
2;0.119958;0.000000;0.668851;2.011286;0.224864;1.353491;-1.171489;0.048671
3;0.179974;0.000000;0.667282;2.013816;0.223528;1.352072;-1.173636;0.049053
4;0.239983;0.000000;0.666060;2.016427;0.222264;1.351072;-1.174541;0.050798
5;0.299944;0.000000;0.665059;2.018965;0.221042;1.349900;-1.176052;0.052015
6;0.35999;0.000000;0.664241;2.021525;0.219901;1.348853;-1.177152;0.053478
7;0.421965;0.000000;0.663571;2.024068;0.218811;1.347737;-1.178442;0.054858
8;0.482013;0.000000;0.663095;2.026651;0.217801;1.346592;-1.179986;0.055881
9;0.54198;0.000000;0.662699;2.029184;0.216835;1.345545;-1.181099;0.057249
10;0.601978;0.000000;0.662367;2.031734;0.215927;1.344546;-1.182260;0.058681
11;0.661974;0.000000;0.662146;2.034196;0.215118;1.343479;-1.183450;0.059981
12;0.721928;0.000000;0.662022;2.036624;0.214343;1.342407;-1.184688;0.061222
13;0.78187;0.000000;0.661923;2.039061;0.213652;1.341423;-1.185661;0.062745
14;0.841881;0.000000;0.661835;2.041451;0.213029;1.340341;-1.186969;0.064002
15;0.90189;0.000000;0.661766;2.043823;0.212519;1.339237;-1.188401;0.065127
16;0.961964;0.000000;0.661750;2.046166;0.211992;1.338145;-1.189750;0.066356
17;1.0219;0.000000;0.661983;2.048400;0.211564;1.337139;-1.190729;0.067824
18;1.08186;0.000000;0.662292;2.050591;0.211207;1.336082;-1.191869;0.069190
19;1.14199;0.000000;0.662587;2.052747;0.210965;1.334965;-1.193269;0.070289
20;1.202;0.000000;0.662898;2.054859;0.210734;1.333892;-1.194558;0.071605
21;1.26196;0.000000;0.663201;2.056883;0.210608;1.332884;-1.195691;0.073040
22;1.32195;0.000000;0.663500;2.058901;0.210519;1.331843;-1.196941;0.074322
23;1.39201;0.000000;0.663777;2.060745;0.210440;1.330697;-1.198228;0.075445
24;1.45198;0.000000;0.664036;2.062701;0.210372;1.329652;-1.199522;0.076517
25;1.51197;0.000000;0.664274;2.064518;0.210387;1.328603;-1.200577;0.077988
26;1.57196;0.000000;0.664565;2.066282;0.210698;1.327602;-1.201533;0.079515
