message_number;message_time_s;ellipse_factor;prev_real_position_0_0;prev_real_position_0_1;prev_real_position_0_2;prev_real_position_0_3;prev_real_position_1_0;prev_real_position_1_1;prev_real_position_1_2;prev_real_position_1_3;prev_real_position_2_0;prev_real_position_2_1;prev_real_position_2_2;prev_real_position_2_3;np_0_0;np_0_1;np_0_2;np_0_3;np_1_0;np_1_1;np_1_2;np_1_3;np_2_0;np_2_1;np_2_2;np_2_3;velocity_0;velocity_1;velocity_2;acceleration_0;acceleration_1;acceleration_2;angular_velocity_0;angular_velocity_1;angular_velocity_2;angular_acceleration_0;angular_acceleration_1;angular_acceleration_2;
0;6.70955;0.934186;0.032171;0.999376;0.014602;0.794219;0.999482;-0.032160;-0.000962;2.150691;-0.000492;0.014625;-0.999893;0.187308;0.032160;0.999375;0.014704;0.794185;0.999483;-0.032160;-0.000249;2.149612;0.000224;0.014705;-0.999892;0.187309;-0.018000;0.000000;-0.000000;-0.300000;0.000000;-0.000000;-0.001328;0.011926;0.000000;-0.022139;0.198771;0.000000;
1;6.7614;0.938166;0.032489;0.999365;0.014602;0.794243;0.999472;-0.032478;-0.000962;2.150216;-0.000487;0.014625;-0.999893;0.187309;0.032144;0.999373;0.014862;0.794144;0.999482;-0.032160;0.000844;2.148364;0.001322;0.014827;-0.999889;0.187308;-0.020801;0.000000;-0.000000;-0.046683;0.000000;-0.000000;-0.002038;0.018294;0.000000;-0.011832;0.106130;0.000000;
2;6.82149;0.938557;0.032707;0.999358;0.014611;0.794319;0.999465;-0.032697;-0.000901;2.148735;-0.000422;0.014632;-0.999893;0.187313;0.032128;0.999371;0.015021;0.794104;0.999481;-0.032160;0.001902;2.147123;0.002384;0.014952;-0.999885;0.187307;-0.020697;0.000000;-0.000000;0.001733;-0.000000;0.000000;-0.002087;0.017708;0.000000;-0.000816;-0.009762;0.000000;
3;6.88141;0.935517;0.032686;0.999356;0.014777;0.794431;0.999466;-0.032682;-0.000505;2.147077;-0.000021;0.014785;-0.999891;0.187352;0.032109;0.999369;0.015176;0.794065;0.999478;-0.032160;0.003147;2.145888;0.003633;0.015067;-0.999880;0.187304;-0.020594;0.000000;-0.000000;0.001724;0.000000;0.000000;-0.001909;0.020820;0.000000;0.002969;0.051869;-0.000000;
4;6.94147;0.931717;0.032675;0.999353;0.015006;0.794519;0.999463;-0.032706;0.001797;2.145964;0.002287;0.014939;-0.999886;0.187419;0.032085;0.999368;0.015332;0.794025;0.999471;-0.032161;0.004734;2.144659;0.005224;0.015172;-0.999871;0.187299;-0.020491;0.000000;-0.000000;0.001715;0.000000;0.000000;-0.001750;0.026527;0.000000;0.002654;0.095102;0.000000;
5;7.00136;0.931717;0.032597;0.999353;0.015230;0.794450;0.999458;-0.032664;0.004159;2.144850;0.004654;0.015086;-0.999875;0.187481;0.032060;0.999366;0.015488;0.793986;0.999463;-0.032161;0.006322;2.143437;0.006816;0.015277;-0.999860;0.187293;-0.020388;0.000000;-0.000000;0.001707;0.000000;0.000000;-0.001750;0.026527;0.000000;-0.000000;-0.000000;-0.000000;
6;7.06143;0.933087;0.032523;0.999351;0.015454;0.794324;0.999449;-0.032621;0.006131;2.143638;0.006631;0.015246;-0.999862;0.187539;0.032024;0.999365;0.015606;0.793947;0.999445;-0.032162;0.008628;2.142220;0.009124;0.015321;-0.999841;0.187284;-0.020286;0.000000;-0.000000;0.001698;-0.000000;0.000000;-0.000739;0.038484;0.000000;0.016839;0.199290;-0.000000;
7;7.12142;0.937120;0.032400;0.999353;0.015619;0.794194;0.999437;-0.032532;0.008263;2.142441;0.008766;0.015342;-0.999844;0.187574;0.031982;0.999365;0.015713;0.793908;0.999419;-0.032162;0.011323;2.141010;0.011821;0.015342;-0.999812;0.187273;-0.020185;0.000000;-0.000000;0.001690;0.000000;0.000000;-0.000345;0.044947;0.000000;0.006579;0.107714;-0.000000;
8;7.18145;0.931968;0.032367;0.999352;0.015750;0.794056;0.999411;-0.032541;0.010925;2.141178;0.011430;0.015387;-0.999816;0.187523;0.031933;0.999364;0.015870;0.793870;0.999378;-0.032163;0.014464;2.139805;0.014965;0.015398;-0.999769;0.187259;-0.020084;0.000000;-0.000000;0.001681;-0.000000;0.000000;-0.000938;0.052416;0.000000;-0.009887;0.124483;0.000000;
9;7.24146;0.934278;0.032234;0.999354;0.015888;0.793988;0.999374;-0.032459;0.014097;2.140020;0.014604;0.015424;-0.999774;0.187406;0.031880;0.999363;0.016035;0.793831;0.999325;-0.032164;0.017748;2.138607;0.018253;0.015459;-0.999714;0.187241;-0.019984;0.000000;-0.000000;0.001673;0.000000;0.000000;-0.001013;0.054811;0.000000;-0.001252;0.039924;0.000000;
