message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
0;0;0.000000;0.671351;2.006700;0.226956;1.354832;-1.170532;0.045752
1;0.0599399;0.000000;0.670641;2.008375;0.226528;1.354319;-1.170605;0.047830
2;0.119989;0.000000;0.668702;2.011305;0.225034;1.353195;-1.172545;0.047884
3;0.180022;0.000000;0.667212;2.013818;0.223639;1.351928;-1.174164;0.048914
4;0.23993;0.000000;0.666034;2.016423;0.222332;1.350935;-1.175098;0.050557
5;0.299925;0.000000;0.665068;2.018956;0.221074;1.349787;-1.176520;0.051879
6;0.359954;0.000000;0.664265;2.021522;0.219926;1.348761;-1.177537;0.053433
7;0.419999;0.000000;0.663593;2.024088;0.218811;1.347664;-1.178824;0.054724
8;0.480056;0.000000;0.663123;2.026633;0.217804;1.346536;-1.180292;0.055887
9;0.539917;0.000000;0.662724;2.029181;0.216830;1.345472;-1.181487;0.057077
10;0.599869;0.000000;0.662418;2.031722;0.215916;1.344455;-1.182680;0.058526
11;0.659874;0.000000;0.662210;2.034190;0.215113;1.343432;-1.183790;0.059854
12;0.719892;0.000000;0.662085;2.036625;0.214339;1.342356;-1.185024;0.061170
13;0.793916;0.000000;0.661986;2.038893;0.213699;1.341247;-1.186243;0.062608
14;0.853864;0.000000;0.661891;2.041439;0.213038;1.340305;-1.187306;0.063886
15;0.913873;0.000000;0.661813;2.043789;0.212515;1.339171;-1.188763;0.064996
16;0.973867;0.000000;0.661807;2.046147;0.211988;1.338047;-1.190227;0.066079
17;1.03385;0.000000;0.662011;2.048397;0.211571;1.337040;-1.191204;0.067543
18;1.09389;0.000000;0.662325;2.050596;0.211206;1.336026;-1.192285;0.069049
19;1.16391;0.000000;0.662627;2.052634;0.210953;1.334909;-1.193531;0.070411
20;1.22388;0.000000;0.662932;2.054849;0.210712;1.333864;-1.194858;0.071546
21;1.28389;0.000000;0.663240;2.056866;0.210608;1.332743;-1.196243;0.072679
22;1.34401;0.000000;0.663534;2.058899;0.210527;1.331725;-1.197467;0.073993
23;1.40396;0.000000;0.663813;2.060853;0.210440;1.330710;-1.198493;0.075417
24;1.46395;0.000000;0.664071;2.062706;0.210371;1.329560;-1.199970;0.076471
25;1.52399;0.000000;0.664333;2.064530;0.210378;1.328521;-1.201031;0.077803
26;1.58391;0.000000;0.664607;2.066294;0.210681;1.327518;-1.201967;0.079313
27;1.64392;0.000000;0.664883;2.068001;0.211007;1.326398;-1.203343;0.080492
28;1.70392;0.000000;0.665168;2.069641;0.211342;1.325329;-1.204577;0.081817
29;1.76391;0.000000;0.665431;2.071225;0.211769;1.324287;-1.205757;0.083163
30;1.82394;0.000000;0.665688;2.072772;0.212201;1.323224;-1.206942;0.084449
31;1.88595;0.000000;0.665869;2.074220;0.212637;1.322153;-1.208125;0.085755
32;1.94598;0.000000;0.666097;2.075652;0.213161;1.321040;-1.209568;0.086922
33;2.00595;0.000000;0.666302;2.076982;0.213683;1.319997;-1.210634;0.088300
34;2.06596;0.000000;0.666484;2.078261;0.214288;1.318963;-1.211717;0.089686
35;2.1383;0.000000;0.666655;2.079490;0.214866;1.317821;-1.213076;0.090799
36;2.19392;0.000000;0.666795;2.080617;0.215511;1.316774;-1.214141;0.092124
37;2.25392;0.000000;0.666957;2.081795;0.216179;1.315730;-1.215380;0.093323
38;2.31392;0.000000;0.667100;2.082878;0.216917;1.314652;-1.216611;0.094681
39;2.37393;0.000000;0.667182;2.083882;0.217650;1.313556;-1.217851;0.095958
40;2.4339;0.000000;0.667273;2.084849;0.218410;1.312487;-1.219067;0.097231
41;2.49388;0.000000;0.667385;2.085778;0.219206;1.311445;-1.220199;0.098604
42;2.55393;0.000000;0.667444;2.086635;0.219996;1.310377;-1.221321;0.099926
43;2.61385;0.000000;0.667489;2.087463;0.220834;1.309285;-1.222573;0.101184
44;2.6739;0.000000;0.667555;2.088202;0.221680;1.308210;-1.223741;0.102537
45;2.73385;0.000000;0.667572;2.088927;0.222541;1.307078;-1.225069;0.103733
46;2.79393;0.000000;0.667559;2.089594;0.223395;1.306050;-1.226097;0.105250
47;2.85397;0.000000;0.667537;2.090224;0.224268;1.304935;-1.227338;0.106433
48;2.91388;0.000000;0.667528;2.090787;0.225153;1.303832;-1.228602;0.107659
49;2.97388;0.000000;0.667509;2.091343;0.226071;1.302797;-1.229665;0.109026
50;3.03391;0.000000;0.667500;2.091839;0.226952;1.301712;-1.230860;0.110342
51;3.09386;0.000000;0.667493;2.092261;0.227885;1.300564;-1.232207;0.111472
52;3.15393;0.000000;0.667478;2.092677;0.228798;1.299493;-1.233362;0.112812
53;3.21395;0.000000;0.667442;2.093070;0.229689;1.298412;-1.234565;0.114028
54;3.27399;0.000000;0.667229;2.093400;0.230604;1.297358;-1.235698;0.115453
55;3.3339;0.000000;0.666924;2.093709;0.231506;1.296266;-1.236886;0.116676
56;3.3939;0.000000;0.666715;2.093979;0.232379;1.295158;-1.238121;0.117871
57;3.45388;0.000000;0.666538;2.094241;0.233272;1.294038;-1.239396;0.119058
58;3.51388;0.000000;0.666348;2.094467;0.234159;1.292973;-1.240514;0.120493
59;3.57386;0.000000;0.666191;2.094647;0.235010;1.291939;-1.241541;0.121946
60;3.63394;0.000000;0.666001;2.094806;0.235900;1.290846;-1.242731;0.123259
61;3.70343;0.000000;0.665820;2.094935;0.236725;1.289636;-1.244171;0.124290
62;3.75995;0.000000;0.665652;2.095026;0.237550;1.288519;-1.245377;0.125558
63;3.8519;0.000000;0.665491;2.095110;0.238304;1.287486;-1.246457;0.126933
64;3.91862;0.000000;0.665260;2.095188;0.239203;1.286459;-1.247529;0.128284
65;3.98594;0.000000;0.665085;2.095214;0.240019;1.285364;-1.248707;0.129582
66;4.04592;0.000000;0.664867;2.095240;0.240824;1.284287;-1.249856;0.130881
67;4.10587;0.000000;0.664650;2.095244;0.241617;1.283173;-1.251069;0.132139
68;4.16584;0.000000;0.664436;2.095247;0.242398;1.282083;-1.252238;0.133417
69;4.22583;0.000000;0.664200;2.095252;0.243161;1.281000;-1.253401;0.134688
70;4.28585;0.000000;0.663992;2.095248;0.243894;1.279909;-1.254568;0.135951
71;4.34591;0.000000;0.663751;2.095215;0.244657;1.278806;-1.255746;0.137170
72;4.40593;0.000000;0.663494;2.095117;0.245366;1.277665;-1.256951;0.138326
73;4.46793;0.000000;0.663298;2.094958;0.246057;1.276487;-1.258191;0.139409
74;4.52795;0.000000;0.663066;2.094764;0.246755;1.275283;-1.259471;0.140431
75;4.59198;0.000000;0.662801;2.094585;0.247404;1.274069;-1.260842;0.141495
76;4.65193;0.000000;0.662621;2.094389;0.248055;1.273146;-1.261736;0.143385
