message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ;;;;message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
0;0;0.000000;0.779972;2.280002;0.437034;2.249071;2.178087;0.015350;;;;0;0;0.000000;0.779972;2.280002;0.437034;2.249071;2.178087;0.015350
1;0.0521417;0.000000;0.779970;2.280010;0.437034;2.249060;2.178098;0.015350;;;;1;0.0521417;0.000000;0.779970;2.280010;0.437034;2.249060;2.178098;0.015350
2;0.112202;0.000000;0.780068;2.279523;0.437030;2.249382;2.177768;0.015352;;;;2;0.112202;0.000000;0.780068;2.279523;0.437030;2.249382;2.177768;0.015352
3;0.17202;0.000000;0.780437;2.277677;0.437036;2.249720;2.177420;0.015355;;;;3;0.17202;0.000000;0.780437;2.277677;0.437036;2.249720;2.177420;0.015355
4;0.232041;0.000000;0.781065;2.274488;0.437054;2.249898;2.177237;0.015355;;;;4;0.232041;0.000000;0.781065;2.274488;0.437054;2.249898;2.177237;0.015355
5;0.294273;0.000000;0.781863;2.270275;0.437070;2.249871;2.177263;0.015354;;;;5;0.294273;0.000000;0.781863;2.270275;0.437070;2.249871;2.177263;0.015354
6;0.352287;0.000000;0.782715;2.265584;0.437087;2.249775;2.177359;0.015352;;;;6;0.352287;0.000000;0.782715;2.265584;0.437087;2.249775;2.177359;0.015352
7;0.412383;0.000000;0.783423;2.261055;0.437107;2.249566;2.177587;0.015383;;;;7;0.412383;0.000000;0.783423;2.261055;0.437107;2.249566;2.177587;0.015383
8;0.471937;0.000000;0.784006;2.256769;0.437128;2.249304;2.177868;0.015414;;;;8;0.471937;0.000000;0.784006;2.256769;0.437128;2.249304;2.177868;0.015414
9;0.531906;0.000000;0.784639;2.252485;0.437147;2.249208;2.177980;0.015446;;;;9;0.531906;0.000000;0.784639;2.252485;0.437147;2.249208;2.177980;0.015446
10;0.591968;0.000000;0.785284;2.248327;0.437163;2.249078;2.178125;0.015478;;;;10;0.591968;0.000000;0.785284;2.248327;0.437163;2.249078;2.178125;0.015478
11;0.651908;0.000000;0.785948;2.244102;0.437177;2.249301;2.177894;0.015479;;;;11;0.651908;0.000000;0.785948;2.244102;0.437177;2.249301;2.177894;0.015479
12;0.711966;0.000000;0.786580;2.240031;0.437190;2.249079;2.178120;0.015476;;;;12;0.711966;0.000000;0.786580;2.240031;0.437190;2.249079;2.178120;0.015476
13;0.771883;0.000000;0.787190;2.236009;0.437204;2.249084;2.178127;0.015510;;;;13;0.771883;0.000000;0.787190;2.236009;0.437204;2.249084;2.178127;0.015510
14;0.832057;0.000000;0.787761;2.232123;0.437218;2.248998;2.178226;0.015543;;;;14;0.832057;0.000000;0.787761;2.232123;0.437218;2.248998;2.178226;0.015543
15;0.911161;0.000000;0.788289;2.228415;0.437225;2.248957;2.178279;0.015576;;;;15;0.911161;0.000000;0.788289;2.228415;0.437225;2.248957;2.178279;0.015576
