message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
0;0;0.000000;0.671328;2.006719;0.226948;1.354876;-1.170320;0.045831
1;0.059999;0.000000;0.670640;2.008262;0.226048;1.354635;-1.169125;0.049466
2;0.122165;0.000000;0.668736;2.011203;0.224627;1.353384;-1.171604;0.048893
3;0.180012;0.000000;0.667250;2.013798;0.223398;1.351951;-1.173928;0.049076
4;0.239993;0.000000;0.666047;2.016437;0.222165;1.350944;-1.174948;0.050668
5;0.300052;0.000000;0.665057;2.019010;0.221009;1.349869;-1.176167;0.052053
6;0.359962;0.000000;0.664254;2.021576;0.219875;1.348785;-1.177388;0.053425
7;0.420022;0.000000;0.663597;2.024155;0.218801;1.347724;-1.178566;0.054860
8;0.480074;0.000000;0.663103;2.026688;0.217783;1.346573;-1.180109;0.055941
9;0.539957;0.000000;0.662728;2.029240;0.216840;1.345489;-1.181366;0.057110
10;0.599974;0.000000;0.662409;2.031775;0.215943;1.344500;-1.182486;0.058538
11;0.660003;0.000000;0.662208;2.034235;0.215129;1.343454;-1.183617;0.059969
12;0.720015;0.000000;0.662086;2.036670;0.214366;1.342378;-1.184876;0.061182
13;0.779958;0.000000;0.661991;2.039099;0.213691;1.341395;-1.185889;0.062725
14;0.839977;0.000000;0.661894;2.041483;0.213065;1.340330;-1.187091;0.064027
15;0.899925;0.000000;0.661816;2.043863;0.212542;1.339214;-1.188581;0.065063
16;0.959942;0.000000;0.661773;2.046194;0.212028;1.338065;-1.190076;0.066153
17;1.01992;0.000000;0.661963;2.048431;0.211611;1.337076;-1.191015;0.067614
18;1.07997;0.000000;0.662290;2.050613;0.211239;1.336073;-1.192020;0.069210
19;1.13999;0.000000;0.662613;2.052767;0.210991;1.334961;-1.193406;0.070327
20;1.2;0.000000;0.662892;2.054881;0.210769;1.333908;-1.194623;0.071670
21;1.25993;0.000000;0.663220;2.056904;0.210620;1.332803;-1.196032;0.072804
22;1.31997;0.000000;0.663521;2.058922;0.210533;1.331784;-1.197241;0.074139
23;1.37996;0.000000;0.663802;2.060876;0.210445;1.330746;-1.198307;0.075509
24;1.43997;0.000000;0.664048;2.062722;0.210373;1.329590;-1.199766;0.076504
25;1.49997;0.000000;0.664324;2.064545;0.210395;1.328546;-1.200856;0.077862
26;1.56002;0.000000;0.664592;2.066303;0.210741;1.327516;-1.201868;0.079336
27;1.62868;0.000000;0.664847;2.068010;0.211066;1.326484;-1.203024;0.080681
28;1.68402;0.000000;0.665130;2.069628;0.211393;1.325401;-1.204237;0.082010
29;1.74405;0.000000;0.665392;2.071249;0.211797;1.324315;-1.205592;0.083152
30;1.80399;0.000000;0.665650;2.072781;0.212215;1.323289;-1.206750;0.084532
31;1.86399;0.000000;0.665877;2.074257;0.212692;1.322204;-1.207954;0.085854
32;1.92399;0.000000;0.666088;2.075660;0.213226;1.321108;-1.209324;0.087024
33;1.98399;0.000000;0.666285;2.076982;0.213725;1.320070;-1.210372;0.088465
34;2.04406;0.000000;0.666464;2.078277;0.214293;1.319081;-1.211348;0.089963
35;2.10398;0.000000;0.666642;2.079491;0.214921;1.317862;-1.212899;0.090856
36;2.16393;0.000000;0.666781;2.080677;0.215583;1.316775;-1.214101;0.092049
37;2.22792;0.000000;0.666939;2.081766;0.216221;1.315766;-1.215146;0.093526
38;2.28792;0.000000;0.667069;2.082872;0.216972;1.314671;-1.216499;0.094662
39;2.34804;0.000000;0.667167;2.083875;0.217693;1.313581;-1.217725;0.095956
40;2.40795;0.000000;0.667260;2.084842;0.218427;1.312521;-1.218887;0.097274
41;2.46793;0.000000;0.667359;2.085772;0.219248;1.311509;-1.219960;0.098744
42;2.52791;0.000000;0.667422;2.086628;0.220028;1.310467;-1.221053;0.100129
43;2.58798;0.000000;0.667468;2.087449;0.220853;1.309339;-1.222371;0.101282
44;2.648;0.000000;0.667518;2.088195;0.221699;1.308222;-1.223623;0.102577
45;2.70797;0.000000;0.667533;2.088921;0.222559;1.307143;-1.224830;0.103874
46;2.76796;0.000000;0.667515;2.089588;0.223430;1.306104;-1.225884;0.105262
47;2.82792;0.000000;0.667500;2.090225;0.224294;1.304997;-1.227143;0.106502
48;2.88797;0.000000;0.667490;2.090780;0.225220;1.303886;-1.228384;0.107790
49;2.94796;0.000000;0.667469;2.091329;0.226072;1.302821;-1.229508;0.109079
50;3.00796;0.000000;0.667463;2.091825;0.226984;1.301774;-1.230651;0.110433
51;3.06794;0.000000;0.667462;2.092247;0.227911;1.300609;-1.232043;0.111544
52;3.12797;0.000000;0.667453;2.092670;0.228807;1.299532;-1.233217;0.112915
53;3.18791;0.000000;0.667417;2.093056;0.229726;1.298425;-1.234447;0.114054
54;3.24795;0.000000;0.667232;2.093385;0.230610;1.297407;-1.235490;0.115519
55;3.30793;0.000000;0.666926;2.093687;0.231512;1.296303;-1.236701;0.116750
56;3.36802;0.000000;0.666725;2.093964;0.232411;1.295209;-1.237931;0.118013
57;3.42789;0.000000;0.666545;2.094219;0.233277;1.294142;-1.239051;0.119321
58;3.48794;0.000000;0.666346;2.094452;0.234190;1.293036;-1.240296;0.120577
59;3.54791;0.000000;0.666128;2.094633;0.235034;1.291982;-1.241347;0.121994
60;3.60802;0.000000;0.665981;2.094791;0.235896;1.290892;-1.242568;0.123331
61;3.66806;0.000000;0.665803;2.094920;0.236751;1.289726;-1.243908;0.124454
62;3.7281;0.000000;0.665640;2.095012;0.237571;1.288572;-1.245211;0.125657
63;3.78801;0.000000;0.665436;2.095097;0.238415;1.287506;-1.246330;0.127011
64;3.84803;0.000000;0.665234;2.095152;0.239221;1.286438;-1.247398;0.128391
65;3.90807;0.000000;0.665047;2.095192;0.240055;1.285369;-1.248549;0.129687
66;3.968;0.000000;0.664857;2.095225;0.240835;1.284279;-1.249720;0.130992
67;4.03199;0.000000;0.664628;2.095229;0.241629;1.283197;-1.250883;0.132262
68;4.09194;0.000000;0.664389;2.095233;0.242410;1.282128;-1.252038;0.133492
69;4.15193;0.000000;0.664178;2.095237;0.243167;1.281038;-1.253207;0.134770
70;4.21189;0.000000;0.663954;2.095226;0.243894;1.279942;-1.254381;0.136026
71;4.27195;0.000000;0.663700;2.095194;0.244657;1.278845;-1.255552;0.137237
72;4.33211;0.000000;0.663460;2.095088;0.245366;1.277705;-1.256750;0.138404
73;4.39396;0.000000;0.663262;2.094944;0.246064;1.276540;-1.257994;0.139484
74;4.45399;0.000000;0.663032;2.094750;0.246743;1.275342;-1.259250;0.140516
75;4.51397;0.000000;0.662806;2.094562;0.247416;1.274129;-1.260624;0.141599
76;4.57389;0.000000;0.662599;2.094368;0.248041;1.273269;-1.261345;0.143670
77;4.63397;0.000000;0.662365;2.094181;0.248710;1.272204;-1.262544;0.145153
78;4.69397;0.000000;0.662124;2.093972;0.249299;1.271084;-1.263790;0.146525
79;4.7539;0.000000;0.661902;2.093778;0.249900;1.269967;-1.264993;0.147768
80;4.81399;0.000000;0.661711;2.093591;0.250467;1.268848;-1.266207;0.149035
81;4.87398;0.000000;0.661478;2.093390;0.251008;1.267728;-1.267384;0.150306
82;4.93395;0.000000;0.661206;2.093182;0.251563;1.266603;-1.268612;0.151543
83;4.99394;0.000000;0.660999;2.092966;0.252056;1.265488;-1.269770;0.152862
84;5.05395;0.000000;0.660802;2.092735;0.252561;1.264392;-1.270881;0.154171
85;5.11396;0.000000;0.660574;2.092505;0.252995;1.263285;-1.272050;0.155469
86;5.17399;0.000000;0.660336;2.092261;0.253518;1.262116;-1.273291;0.156661
87;5.23393;0.000000;0.660136;2.092030;0.253983;1.261033;-1.274405;0.158031
88;5.29407;0.000000;0.659953;2.091807;0.254362;1.259987;-1.275430;0.159456
89;5.35405;0.000000;0.659737;2.091563;0.254754;1.258883;-1.276574;0.160767
90;5.41401;0.000000;0.659503;2.091304;0.255172;1.257700;-1.277878;0.161926
91;5.4831;0.000000;0.659304;2.091052;0.255524;1.256549;-1.279122;0.163164
92;5.54001;0.000000;0.659101;2.090808;0.255881;1.255449;-1.280249;0.164553
93;5.60007;0.000000;0.658894;2.090556;0.256254;1.254328;-1.281424;0.165727
94;5.66013;0.000000;0.658694;2.090305;0.256554;1.253206;-1.282570;0.166971
95;5.72001;0.000000;0.658552;2.090059;0.256828;1.252104;-1.283711;0.168343
96;5.77999;0.000000;0.658618;2.089795;0.257566;1.253703;-1.297857;0.171908
97;5.84;0.000000;0.658170;2.089608;0.257843;1.258907;-1.308975;0.177637
98;5.90007;0.000000;0.658686;2.089538;0.257881;1.263343;-1.320749;0.181715
99;5.96012;0.000000;0.659328;2.089508;0.257917;1.267267;-1.333254;0.185487
100;6.01999;0.000000;0.660255;2.089509;0.257908;1.270905;-1.345785;0.189097
101;6.08004;0.000000;0.661342;2.089652;0.257897;1.274308;-1.358584;0.192668
102;6.13989;0.000000;0.662635;2.090020;0.257939;1.278083;-1.370518;0.196945
103;6.19994;0.000000;0.664140;2.090473;0.258001;1.281269;-1.383451;0.200427
104;6.26002;0.000000;0.665728;2.090970;0.258079;1.284527;-1.395696;0.204593
105;6.32005;0.000000;0.667455;2.091526;0.258261;1.287492;-1.408668;0.208062
106;6.38002;0.000000;0.669303;2.092067;0.258460;1.290558;-1.420839;0.212248
107;6.44004;0.000000;0.671252;2.092632;0.258737;1.293229;-1.433772;0.215420
108;6.49995;0.000000;0.673215;2.093260;0.259052;1.295939;-1.446195;0.219337
109;6.55991;0.000000;0.675300;2.093851;0.259443;1.298327;-1.459263;0.222566
110;6.62;0.000000;0.677436;2.094513;0.259895;1.300831;-1.471511;0.226649
111;6.68001;0.000000;0.679590;2.095141;0.260415;1.303031;-1.484380;0.229913
112;6.74001;0.000000;0.681699;2.095795;0.261013;1.305172;-1.497069;0.233379
113;6.80354;0.000000;0.683769;2.096470;0.261679;1.307162;-1.509979;0.236717
114;6.85999;0.000000;0.685793;2.097133;0.262389;1.309076;-1.522779;0.239899
115;6.92;0.000000;0.687933;2.097799;0.263164;1.310924;-1.535246;0.243576
116;6.98007;0.000000;0.690345;2.098413;0.264043;1.312513;-1.548409;0.246433
117;7.04002;0.000000;0.692652;2.099070;0.264948;1.314120;-1.561037;0.249852
118;7.10001;0.000000;0.694924;2.099693;0.265942;1.315602;-1.573838;0.252962
119;7.16001;0.000000;0.697122;2.100306;0.266960;1.316968;-1.586754;0.255838
120;7.22135;0.000000;0.699282;2.100891;0.268107;1.318289;-1.599462;0.259192
121;7.2838;0.000000;0.701392;2.101449;0.269224;1.319456;-1.612258;0.262169
122;7.33999;0.000000;0.703486;2.101979;0.270440;1.320514;-1.625212;0.264853
123;7.40001;0.000000;0.705487;2.102505;0.271641;1.321545;-1.638032;0.267697
124;7.46003;0.000000;0.707433;2.102972;0.272933;1.322484;-1.650831;0.270461
125;7.52002;0.000000;0.709359;2.103456;0.274236;1.323273;-1.663870;0.273032
