message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
0;0;0.000000;0.779972;2.280002;0.437028;2.249059;2.178099;0.015350;
1;0.05197;0.000000;0.779972;2.280002;0.437028;2.249059;2.178099;0.015350;
2;0.112013;0.000000;0.779972;2.280002;0.437028;2.249059;2.178099;0.015350;
3;0.185267;0.000000;0.780075;2.279489;0.437030;2.249271;2.177882;0.015352;
4;0.238189;0.000000;0.780404;2.277608;0.437044;2.249499;2.177647;0.015353;
5;0.30032;0.000000;0.780902;2.274438;0.437060;2.249784;2.177368;0.015388;
6;0.367736;0.000000;0.781505;2.270207;0.437083;2.249790;2.177375;0.015420;
7;0.420019;0.000000;0.782143;2.265674;0.437105;2.249760;2.177419;0.015453;
8;0.479969;0.000000;0.782741;2.261322;0.437127;2.249549;2.177648;0.015484;
9;0.53993;0.000000;0.783330;2.257155;0.437144;2.249281;2.177920;0.015481;
10;0.600106;0.000000;0.783952;2.253075;0.437155;2.249184;2.178032;0.015514;
11;0.660151;0.000000;0.784512;2.249047;0.437173;2.249082;2.178149;0.015546;
12;0.720126;0.000000;0.785058;2.244983;0.437190;2.249202;2.178038;0.015580;
13;0.779994;0.000000;0.785598;2.241104;0.437206;2.249129;2.178124;0.015613;
14;0.840037;0.000000;0.786154;2.237254;0.437221;2.249118;2.178146;0.015647;
15;0.899911;0.000000;0.786705;2.233456;0.437235;2.249113;2.178162;0.015681;
16;0.959877;0.000000;0.787242;2.229700;0.437246;2.249166;2.178105;0.015681;
17;1.0199;0.000000;0.787767;2.225943;0.437257;2.249208;2.178060;0.015681;
18;1.0799;0.000000;0.788256;2.222330;0.437269;2.249083;2.178198;0.015714;
19;1.14001;0.000000;0.788740;2.218637;0.437279;2.249120;2.178157;0.015714;
20;1.20006;0.000000;0.789203;2.214985;0.437289;2.249115;2.178160;0.015713;
21;1.26003;0.000000;0.789650;2.211367;0.437293;2.249281;2.177987;0.015714;
22;1.3199;0.000000;0.790059;2.207980;0.437301;2.249260;2.178006;0.015714;
23;1.39792;0.000000;0.790435;2.204844;0.437309;2.249055;2.178214;0.015712;
24;1.47259;0.000000;0.790880;2.201618;0.437315;2.249125;2.178141;0.015712;
25;1.52407;0.000000;0.791375;2.198713;0.437312;2.248862;2.178408;0.015709;
26;1.58407;0.000000;0.791907;2.195468;0.437310;2.249189;2.178070;0.015712;
27;1.65173;0.000000;0.792382;2.192470;0.437314;2.249083;2.178177;0.015710;
28;1.71457;0.000000;0.792846;2.189523;0.437316;2.249054;2.178204;0.015710;
29;1.76944;0.000000;0.793316;2.186574;0.437319;2.248978;2.178281;0.015709;
30;1.82637;0.000000;0.793777;2.183606;0.437321;2.248971;2.178286;0.015708;
31;1.88611;0.000000;0.794206;2.180661;0.437323;2.249002;2.178251;0.015708;
