message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
0;0;0.000000;0.783929;2.299984;0.186999;2.249011;2.178008;0.015008;
1;0.0639123;0.000000;0.783925;2.299983;0.186999;2.249011;2.178008;0.015008;
2;0.123902;0.000000;0.783863;2.300391;0.186997;2.248964;2.178056;0.015007;
3;0.183169;0.000000;0.784120;2.302147;0.186975;2.248812;2.178212;0.015007;
4;0.243193;0.000000;0.784943;2.304775;0.186915;2.248447;2.178587;0.015005;
5;0.30335;0.000000;0.785653;2.307077;0.186860;2.248558;2.178473;0.015007;
6;0.363113;0.000000;0.786311;2.309309;0.186822;2.248638;2.178391;0.015008;
7;0.423112;0.000000;0.786955;2.311490;0.186848;2.248736;2.178291;0.015010;
8;0.483077;0.000000;0.787534;2.313596;0.186935;2.248767;2.178259;0.015011;
9;0.543117;0.000000;0.788100;2.315568;0.186987;2.248854;2.178169;0.015013;
10;0.613877;0.000000;0.788642;2.317520;0.186989;2.248891;2.178131;0.015014;
11;0.6658;0.000000;0.789188;2.319357;0.187021;2.248999;2.178020;0.015015;
12;0.73738;0.000000;0.789701;2.321228;0.187046;2.249015;2.178003;0.015016;
13;0.798093;0.000000;0.790220;2.322975;0.187046;2.249077;2.177940;0.015017;
14;0.851203;0.000000;0.790704;2.324717;0.187058;2.249079;2.177938;0.015018;
15;0.911122;0.000000;0.791214;2.326450;0.187073;2.249067;2.177950;0.015018;
16;0.971119;0.000000;0.791678;2.328147;0.187084;2.249076;2.177941;0.015019;
17;1.03119;0.000000;0.792143;2.329784;0.187099;2.249019;2.178000;0.015019;
18;1.09109;0.000000;0.792577;2.331313;0.187118;2.249045;2.177973;0.015020;
19;1.15118;0.000000;0.792993;2.332822;0.187118;2.249057;2.177960;0.015021;
20;1.21116;0.000000;0.793406;2.334287;0.187112;2.249053;2.177965;0.015021;
21;1.27117;0.000000;0.793808;2.335723;0.187100;2.249033;2.177985;0.015022;
22;1.3386;0.000000;0.794202;2.337132;0.187099;2.249023;2.177996;0.015022;
23;1.40393;0.000000;0.794633;2.338506;0.187102;2.249102;2.177914;0.015023;
24;1.47227;0.000000;0.795009;2.339807;0.187127;2.249079;2.177912;0.015008;
25;1.54398;0.000000;0.795373;2.341038;0.187141;2.249108;2.177882;0.015009;
26;1.59509;0.000000;0.795748;2.342301;0.187176;2.249105;2.177885;0.015009;
27;1.65512;0.000000;0.796113;2.343600;0.187151;2.249023;2.177970;0.015009;
28;1.71515;0.000000;0.796457;2.344858;0.187120;2.248984;2.178010;0.015009;
29;1.77513;0.000000;0.796826;2.346003;0.187096;2.249039;2.177953;0.015010;
30;1.83514;0.000000;0.797160;2.347150;0.187085;2.249011;2.177981;0.015011;
31;1.89506;0.000000;0.797495;2.348270;0.187092;2.248969;2.178025;0.015011;
32;1.95509;0.000000;0.797809;2.349349;0.187155;2.249006;2.177987;0.015011;
33;2.01498;0.000000;0.798125;2.350354;0.187183;2.249034;2.177958;0.015012;
34;2.07516;0.000000;0.798399;2.351358;0.187172;2.249028;2.177964;0.015012;
35;2.13516;0.000000;0.798700;2.352296;0.187160;2.249002;2.177991;0.015013;
36;2.19511;0.000000;0.798992;2.353242;0.187172;2.248989;2.178004;0.015013;
37;2.27995;0.000000;0.799257;2.354143;0.187204;2.249019;2.177973;0.015013;
38;2.33111;0.000000;0.799523;2.354980;0.187208;2.249066;2.177925;0.015014;
39;2.39113;0.000000;0.799803;2.355887;0.187208;2.249025;2.177967;0.015014;
40;2.4511;0.000000;0.800078;2.356719;0.187204;2.249036;2.177956;0.015015;
41;2.51118;0.000000;0.800328;2.357544;0.187178;2.249046;2.177946;0.015015;
42;2.57115;0.000000;0.800559;2.358317;0.187155;2.249039;2.177953;0.015015;
43;2.63119;0.000000;0.800804;2.359096;0.187154;2.249056;2.177935;0.015016;
44;2.69133;0.000000;0.801050;2.359884;0.187171;2.249027;2.177965;0.015016;
45;2.7512;0.000000;0.801259;2.360587;0.187187;2.249049;2.177943;0.015016;
46;2.81104;0.000000;0.801487;2.361287;0.187182;2.249022;2.177970;0.015016;
47;2.87459;0.000000;0.801698;2.362011;0.187179;2.248998;2.177995;0.015016;
48;2.93119;0.000000;0.801906;2.362668;0.187201;2.248991;2.178002;0.015017;
49;3.02082;0.000000;0.802078;2.363239;0.187224;2.249095;2.177896;0.015018;
50;3.07506;0.000000;0.802301;2.363968;0.187206;2.248988;2.178005;0.015017;
51;3.13512;0.000000;0.802511;2.364589;0.187186;2.248988;2.178004;0.015017;
52;3.19503;0.000000;0.802702;2.365138;0.187183;2.249030;2.177962;0.015018;
53;3.25501;0.000000;0.802876;2.365731;0.187192;2.248981;2.178012;0.015018;
54;3.31514;0.000000;0.803060;2.366317;0.187193;2.248978;2.178015;0.015018;
55;3.37499;0.000000;0.803234;2.366863;0.187191;2.248972;2.178021;0.015018;
56;3.43514;0.000000;0.803434;2.367378;0.187174;2.248997;2.177995;0.015018;
57;3.50002;0.000000;0.803577;2.367896;0.187170;2.249001;2.177992;0.015019;
58;3.55526;0.000000;0.803711;2.368412;0.187184;2.248980;2.178013;0.015019;
59;3.61503;0.000000;0.803883;2.368901;0.187232;2.248992;2.178001;0.015019;
60;3.67505;0.000000;0.804045;2.369350;0.187245;2.249034;2.177957;0.015019;
61;3.73511;0.000000;0.804195;2.369843;0.187234;2.248987;2.178006;0.015019;
62;3.79505;0.000000;0.804347;2.370308;0.187247;2.248937;2.178057;0.015019;
