message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
0;0;0.000000;0.783995;1.900000;0.186998;2.249004;2.178006;0.014995;
1;0.0565483;0.000000;0.783995;1.900000;0.186998;2.249004;2.178006;0.014995;
2;0.112189;0.000000;0.784104;1.900507;0.187000;2.249065;2.177945;0.014996;
3;0.178103;0.000000;0.784383;1.902378;0.187011;2.248896;2.178102;0.014968;
4;0.244521;0.000000;0.784813;1.905617;0.187031;2.248501;2.178507;0.014967;
5;0.300733;0.000000;0.785259;1.909535;0.187057;2.248421;2.178589;0.014968;
6;0.358104;0.000000;0.785688;1.913551;0.187083;2.248387;2.178623;0.014969;
7;0.432064;0.000000;0.786143;1.917270;0.187104;2.248571;2.178434;0.014972;
8;0.492699;0.000000;0.786513;1.920830;0.187122;2.248794;2.178206;0.015013;
9;0.550225;0.000000;0.786934;1.924335;0.187135;2.248906;2.178092;0.015016;
10;0.626883;0.000000;0.787366;1.927898;0.187146;2.248906;2.178092;0.015017;
11;0.683585;0.000000;0.787781;1.931221;0.187137;2.249128;2.177864;0.015021;
12;0.74535;0.000000;0.788221;1.934653;0.187116;2.248971;2.178024;0.015021;
13;0.80219;0.000000;0.788624;1.937912;0.187063;2.249020;2.177974;0.015023;
14;0.861987;0.000000;0.789055;1.941172;0.187033;2.248951;2.178045;0.015024;
15;0.93293;0.000000;0.789485;1.944378;0.187020;2.248959;2.178037;0.015025;
16;0.984102;0.000000;0.789891;1.947516;0.187025;2.248923;2.178074;0.015027;
17;1.04412;0.000000;0.790271;1.950604;0.187029;2.248964;2.178032;0.015028;
18;1.10411;0.000000;0.790665;1.953590;0.187038;2.248946;2.178050;0.015030;
19;1.17613;0.000000;0.791016;1.956246;0.187040;2.249282;2.177705;0.015034;
20;1.23617;0.000000;0.791436;1.959208;0.187047;2.249001;2.177994;0.015033;
21;1.29616;0.000000;0.791847;1.961950;0.187047;2.249027;2.177967;0.015034;
22;1.35624;0.000000;0.792195;1.964694;0.187053;2.249004;2.177990;0.015035;
23;1.41813;0.000000;0.792540;1.967295;0.187059;2.249073;2.177920;0.015037;
24;1.4781;0.000000;0.792920;1.969899;0.187064;2.249011;2.177983;0.015038;
25;1.55512;0.000000;0.793255;1.972390;0.187060;2.249018;2.177973;0.015002;
26;1.60968;0.000000;0.793530;1.974736;0.187065;2.249175;2.177812;0.015004;
27;1.6702;0.000000;0.793864;1.977213;0.187064;2.249026;2.177964;0.015004;
28;1.7301;0.000000;0.794217;1.979662;0.187067;2.248959;2.178033;0.015005;
29;1.79563;0.000000;0.794565;1.982107;0.187070;2.248898;2.178113;0.015031;
30;1.85018;0.000000;0.794890;1.984401;0.187072;2.248931;2.178080;0.015032;
31;1.9162;0.000000;0.795186;1.986530;0.187075;2.249027;2.177981;0.015034;
32;1.97011;0.000000;0.795474;1.988635;0.187077;2.249049;2.177958;0.015035;
33;2.03009;0.000000;0.795754;1.990723;0.187079;2.249057;2.177950;0.015036;
34;2.09006;0.000000;0.796026;1.992794;0.187075;2.249075;2.177931;0.015037;
35;2.1502;0.000000;0.796287;1.994814;0.187077;2.249087;2.177919;0.015038;
36;2.21012;0.000000;0.796556;1.996894;0.187079;2.248999;2.178010;0.015038;
37;2.2789;0.000000;0.796805;1.998828;0.187080;2.249012;2.177996;0.015039;
38;2.34111;0.000000;0.797042;2.000666;0.187082;2.249038;2.177969;0.015040;
39;2.39409;0.000000;0.797296;2.002396;0.187082;2.249112;2.177894;0.015042;
40;2.45438;0.000000;0.797602;2.004138;0.187080;2.249080;2.177926;0.015042;
41;2.52065;0.000000;0.797905;2.005810;0.187073;2.249052;2.177955;0.015043;
42;2.58342;0.000000;0.798217;2.007447;0.187070;2.249044;2.177964;0.015044;
43;2.63618;0.000000;0.798521;2.009041;0.187068;2.249078;2.177929;0.015045;
44;2.69616;0.000000;0.798815;2.010601;0.187065;2.249060;2.177946;0.015045;
45;2.75618;0.000000;0.799105;2.012154;0.187063;2.249030;2.177978;0.015046;
46;2.81606;0.000000;0.799363;2.013675;0.187061;2.249008;2.178001;0.015046;
47;2.88197;0.000000;0.799603;2.015083;0.187059;2.249114;2.177891;0.015048;
48;2.95273;0.000000;0.799856;2.016562;0.187057;2.249004;2.178005;0.015047;
49;3.00422;0.000000;0.800080;2.017938;0.187055;2.249035;2.177973;0.015048;
50;3.06945;0.000000;0.800309;2.019313;0.187053;2.248995;2.178014;0.015049;
51;3.12422;0.000000;0.800521;2.020612;0.187051;2.249017;2.177991;0.015049;
52;3.18398;0.000000;0.800718;2.021868;0.187050;2.249070;2.177937;0.015050;
53;3.24403;0.000000;0.800915;2.023128;0.187045;2.249050;2.177952;0.015014;
54;3.30401;0.000000;0.801088;2.024387;0.187044;2.249020;2.177983;0.015014;
55;3.36394;0.000000;0.801309;2.025598;0.187042;2.249008;2.177995;0.015015;
56;3.42389;0.000000;0.801519;2.026757;0.187039;2.249014;2.177989;0.015015;
57;3.48412;0.000000;0.801678;2.027877;0.187043;2.249074;2.177927;0.015016;
58;3.54427;0.000000;0.801923;2.028989;0.187039;2.249051;2.177951;0.015017;
59;3.60439;0.000000;0.802121;2.030063;0.187036;2.249023;2.177979;0.015017;
60;3.6641;0.000000;0.802277;2.031104;0.187040;2.249003;2.178000;0.015017;
61;3.72479;0.000000;0.802435;2.032120;0.187038;2.249003;2.178000;0.015018;
62;3.78413;0.000000;0.802603;2.033082;0.187036;2.249057;2.177945;0.015019;
63;3.8526;0.000000;0.802805;2.034059;0.187038;2.249030;2.177973;0.015019;
64;3.90456;0.000000;0.802976;2.034977;0.187035;2.249031;2.177971;0.015019;
65;3.96411;0.000000;0.803125;2.035906;0.187045;2.249009;2.177994;0.015019;
66;4.02415;0.000000;0.803279;2.036791;0.187049;2.249018;2.177984;0.015020;
67;4.11289;0.000000;0.803419;2.037571;0.187070;2.249145;2.177854;0.015021;
68;4.16681;0.000000;0.803559;2.038457;0.187092;2.249035;2.177966;0.015021;
69;4.23423;0.000000;0.803709;2.039281;0.187107;2.249014;2.177989;0.015021;
70;4.30132;0.000000;0.803846;2.040045;0.187123;2.249091;2.177909;0.015022;
71;4.35408;0.000000;0.803998;2.040851;0.187138;2.249091;2.177909;0.015022;
72;4.41409;0.000000;0.804137;2.041615;0.187141;2.249050;2.177951;0.015022;
73;4.47412;0.000000;0.804271;2.042362;0.187144;2.249043;2.177959;0.015023;
74;4.53409;0.000000;0.804395;2.043100;0.187142;2.248987;2.178016;0.015023;
75;4.59414;0.000000;0.804521;2.043760;0.187145;2.249017;2.177986;0.015023;
76;4.65997;0.000000;0.804642;2.044464;0.187143;2.249004;2.177998;0.015023;
77;4.71408;0.000000;0.804754;2.045107;0.187141;2.249020;2.177982;0.015024;
78;4.77407;0.000000;0.804894;2.045748;0.187143;2.249013;2.177990;0.015024;
79;4.83413;0.000000;0.805022;2.046408;0.187140;2.248983;2.178020;0.015024;
80;4.89409;0.000000;0.805139;2.046972;0.187138;2.249026;2.177976;0.015025;
81;4.95415;0.000000;0.805250;2.047571;0.187141;2.249001;2.178002;0.015025;
82;5.01408;0.000000;0.805340;2.048172;0.187139;2.248988;2.178015;0.015025;
83;5.07407;0.000000;0.805454;2.048702;0.187143;2.249003;2.178000;0.015025;
84;5.13408;0.000000;0.805580;2.049230;0.187139;2.249029;2.177973;0.015026;
85;5.19415;0.000000;0.805674;2.049765;0.187141;2.249006;2.177990;0.014989;
86;5.25419;0.000000;0.805747;2.050270;0.187145;2.248994;2.178002;0.014989;
87;5.31816;0.000000;0.805857;2.050747;0.187148;2.249015;2.177981;0.014990;
88;5.37809;0.000000;0.805972;2.051259;0.187145;2.248980;2.178017;0.014990;
89;5.43815;0.000000;0.806077;2.051746;0.187148;2.248977;2.178019;0.014990;
90;5.49811;0.000000;0.806153;2.052172;0.187152;2.248980;2.178017;0.014990;
91;5.55815;0.000000;0.806239;2.052625;0.187150;2.249009;2.177987;0.014991;
92;5.61806;0.000000;0.806320;2.053069;0.187154;2.249013;2.177982;0.014991;
93;5.67853;0.000000;0.806396;2.053504;0.187152;2.248957;2.178040;0.014991;
94;5.73828;0.000000;0.806467;2.053922;0.187157;2.248947;2.178050;0.014991;
95;5.80134;0.000000;0.806540;2.054314;0.187155;2.249064;2.177930;0.014992;
96;5.85812;0.000000;0.806619;2.054741;0.187159;2.249019;2.177976;0.014992;
97;5.92498;0.000000;0.806693;2.055159;0.187157;2.249009;2.177987;0.014992;
98;5.9853;0.000000;0.806756;2.055516;0.187161;2.249038;2.177956;0.014992;
99;6.04023;0.000000;0.806838;2.055864;0.187159;2.249032;2.177963;0.014992;
100;6.10015;0.000000;0.806916;2.056211;0.187156;2.249025;2.177970;0.014992;
101;6.16212;0.000000;0.806990;2.056568;0.187160;2.249031;2.177964;0.014993;
102;6.22202;0.000000;0.807060;2.056917;0.187158;2.249001;2.177995;0.014992;
103;6.28623;0.000000;0.807111;2.057248;0.187163;2.249016;2.177980;0.014993;
104;6.34621;0.000000;0.807178;2.057553;0.187161;2.249039;2.177955;0.014993;
105;6.40613;0.000000;0.807248;2.057831;0.187159;2.249048;2.177946;0.014993;
106;6.46606;0.000000;0.807315;2.058144;0.187163;2.249025;2.177970;0.014993;
107;6.53183;0.000000;0.807394;2.058465;0.187160;2.249004;2.177992;0.014993;
108;6.58606;0.000000;0.807476;2.058752;0.187158;2.249002;2.177994;0.014993;
109;6.64639;0.000000;0.807528;2.059013;0.187162;2.248997;2.177999;0.014993;
110;6.70785;0.000000;0.807572;2.059301;0.187161;2.248983;2.178013;0.014993;
111;6.76605;0.000000;0.807615;2.059563;0.187166;2.249013;2.177982;0.014994;
112;6.82611;0.000000;0.807667;2.059834;0.187164;2.249021;2.177974;0.014994;
113;6.89977;0.000000;0.807721;2.060077;0.187163;2.249038;2.177957;0.014994;
114;6.95419;0.000000;0.807760;2.060339;0.187168;2.249009;2.177986;0.014994;
115;7.02071;0.000000;0.807806;2.060584;0.187166;2.248990;2.178006;0.014994;
116;7.08729;0.000000;0.807855;2.060801;0.187165;2.249004;2.177992;0.014994;
117;7.14012;0.000000;0.807932;2.061018;0.187168;2.249017;2.177978;0.014995;
118;7.20013;0.000000;0.808005;2.061217;0.187165;2.249041;2.177954;0.014995;
119;7.26002;0.000000;0.808032;2.061427;0.187171;2.249053;2.177941;0.014995;
120;7.32015;0.000000;0.808065;2.061672;0.187170;2.249011;2.177985;0.014995;
121;7.38015;0.000000;0.808105;2.061872;0.187169;2.248998;2.177997;0.014995;
122;7.44019;0.000000;0.808156;2.062063;0.187173;2.248997;2.177999;0.014995;
123;7.50011;0.000000;0.808233;2.062271;0.187170;2.248950;2.178047;0.014995;
124;7.56017;0.000000;0.808267;2.062454;0.187169;2.248983;2.178013;0.014995;
125;7.6201;0.000000;0.808292;2.062638;0.187168;2.248993;2.178003;0.014995;
126;7.68251;0.000000;0.808330;2.062821;0.187173;2.248991;2.178005;0.014995;
127;7.74034;0.000000;0.808371;2.062978;0.187172;2.249009;2.177986;0.014995;
128;7.80026;0.000000;0.808417;2.063134;0.187170;2.249004;2.177992;0.014995;
129;7.86009;0.000000;0.808454;2.063309;0.187169;2.249012;2.177983;0.014996;
130;7.92003;0.000000;0.808487;2.063474;0.187174;2.248996;2.178000;0.014996;
131;7.98009;0.000000;0.808519;2.063623;0.187173;2.249001;2.177994;0.014996;
132;8.0461;0.000000;0.808552;2.063780;0.187172;2.249008;2.177988;0.014996;
133;8.1001;0.000000;0.808577;2.063955;0.187171;2.248957;2.178040;0.014995;
134;8.16009;0.000000;0.808599;2.064077;0.187170;2.248947;2.178050;0.014995;
135;8.21998;0.000000;0.808622;2.064208;0.187176;2.248986;2.178009;0.014996;
136;8.28012;0.000000;0.808657;2.064330;0.187174;2.249013;2.177983;0.014996;
137;8.34013;0.000000;0.808692;2.064452;0.187173;2.249003;2.177992;0.014996;
138;8.40007;0.000000;0.808739;2.064564;0.187171;2.248993;2.178003;0.014996;
139;8.46013;0.000000;0.808769;2.064686;0.187170;2.248995;2.178001;0.014996;
140;8.52012;0.000000;0.808787;2.064800;0.187176;2.249020;2.177975;0.014996;
141;8.58011;0.000000;0.808797;2.064914;0.187176;2.249010;2.177986;0.014996;
142;8.64277;0.000000;0.808815;2.065028;0.187175;2.249011;2.177984;0.014996;
143;8.71629;0.000000;0.808833;2.065150;0.187175;2.248990;2.178006;0.014996;
144;8.76823;0.000000;0.808855;2.065264;0.187174;2.249003;2.177993;0.014996;
145;8.8281;0.000000;0.808884;2.065368;0.187179;2.248991;2.178004;0.014996;
146;8.88821;0.000000;0.808922;2.065472;0.187177;2.248980;2.178016;0.014996;
147;8.94813;0.000000;0.808956;2.065559;0.187176;2.248990;2.178006;0.014996;
148;9.01792;0.000000;0.808982;2.065690;0.187175;2.248993;2.178002;0.014997;
149;9.06998;0.971624;0.808992;2.065724;0.187175;2.248974;2.178022;0.014996;
150;9.1301;0.970903;0.808969;2.065214;0.187175;2.249307;2.177681;0.014999;
151;9.19039;0.970707;0.808881;2.063369;0.187175;2.249586;2.177433;0.015047;
152;9.25018;0.958124;0.808785;2.061312;0.187178;2.250614;2.178010;0.017011;
153;9.31003;0.957175;0.808705;2.059520;0.187187;2.251279;2.179060;0.019173;
154;9.3701;0.967646;0.808618;2.057495;0.187203;2.252067;2.179852;0.021294;
155;9.43;0.957366;0.808593;2.055723;0.187262;2.253227;2.181101;0.024952;
156;9.49014;0.964558;0.808565;2.054044;0.187297;2.254580;2.182770;0.029157;
157;9.55347;0.970143;0.808534;2.052318;0.187312;2.255997;2.184517;0.033345;
158;9.61349;0.970143;0.808506;2.050536;0.187326;-2.255746;-2.184412;-0.037698;
