message_number;message_time_s;ellipse_factor;prev_real_position_0_0;prev_real_position_0_1;prev_real_position_0_2;prev_real_position_0_3;prev_real_position_1_0;prev_real_position_1_1;prev_real_position_1_2;prev_real_position_1_3;prev_real_position_2_0;prev_real_position_2_1;prev_real_position_2_2;prev_real_position_2_3;np_0_0;np_0_1;np_0_2;np_0_3;np_1_0;np_1_1;np_1_2;np_1_3;np_2_0;np_2_1;np_2_2;np_2_3;velocity_0;velocity_1;velocity_2;acceleration_0;acceleration_1;acceleration_2;angular_velocity_0;angular_velocity_1;angular_velocity_2;angular_acceleration_0;angular_acceleration_1;angular_acceleration_2;
0;6.79178;0.952634;0.007984;0.999956;-0.004989;0.802394;0.999794;-0.008075;-0.018633;2.147340;-0.018673;-0.004839;-0.999814;0.431263;0.007987;0.999957;-0.004790;0.802385;0.999806;-0.008072;-0.017941;2.146261;-0.017979;-0.004646;-0.999828;0.431283;-0.018000;-0.000000;-0.000000;-0.300000;-0.000000;-0.000000;-0.003216;0.011561;0.000000;-0.053605;0.192682;0.000000;
1;6.85986;0.961040;0.008242;0.999954;-0.004997;0.802434;0.999792;-0.008333;-0.018606;2.147008;-0.018646;-0.004842;-0.999814;0.431257;0.007992;0.999958;-0.004494;0.802368;0.999825;-0.008067;-0.016892;2.144101;-0.016927;-0.004358;-0.999847;0.431322;-0.036000;-0.000000;-0.000000;-0.300000;-0.000000;-0.000000;-0.004799;0.017536;0.000000;-0.026384;0.099584;0.000000;
2;6.91995;0.969815;0.008478;0.999952;-0.005001;0.802513;0.999793;-0.008569;-0.018443;2.145238;-0.018485;-0.004843;-0.999817;0.431254;0.007996;0.999959;-0.004188;0.802350;0.999842;-0.008062;-0.015872;2.141881;-0.015905;-0.004060;-0.999865;0.431360;-0.037008;-0.000000;-0.000000;-0.016807;-0.000000;-0.000000;-0.004973;0.017039;0.000000;-0.002892;-0.008287;0.000000;
3;6.97984;0.952767;0.008820;0.999950;-0.004768;0.802625;0.999816;-0.008899;-0.016980;2.142511;-0.017021;-0.004618;-0.999844;0.431288;0.008001;0.999960;-0.003913;0.802333;0.999859;-0.008058;-0.014721;2.139672;-0.014752;-0.003795;-0.999884;0.431395;-0.036823;-0.000000;-0.000000;0.003083;0.000000;0.000000;-0.004420;0.019218;0.000000;0.009218;0.036318;-0.000000;
4;7.03986;0.948111;0.008634;0.999954;-0.004278;0.802713;0.999848;-0.008698;-0.015089;2.140205;-0.015125;-0.004148;-0.999877;0.431334;0.008008;0.999961;-0.003663;0.802315;0.999885;-0.008055;-0.012851;2.137474;-0.012880;-0.003559;-0.999911;0.431427;-0.036639;-0.000000;-0.000000;0.003068;0.000000;0.000000;-0.003926;0.031208;0.000000;0.008233;0.199830;-0.000000;
5;7.10315;0.950618;0.008520;0.999956;-0.003938;0.802777;0.999871;-0.008573;-0.013574;2.137907;-0.013607;-0.003821;-0.999900;0.431365;0.008017;0.999962;-0.003439;0.802298;0.999914;-0.008052;-0.010339;2.135287;-0.010367;-0.003355;-0.999941;0.431456;-0.036456;-0.000000;-0.000000;0.003053;0.000000;0.000000;-0.003398;0.041891;0.000000;0.008799;0.178055;-0.000000;
6;7.15997;0.943350;0.008451;0.999958;-0.003524;0.802721;0.999903;-0.008489;-0.011017;2.135684;-0.011047;-0.003430;-0.999933;0.431437;0.008028;0.999962;-0.003333;0.802280;0.999942;-0.008052;-0.007177;2.133110;-0.007204;-0.003275;-0.999969;0.431478;-0.036274;-0.000000;-0.000000;0.003038;0.000000;0.000000;-0.001335;0.052717;0.000000;0.034373;0.180427;-0.000000;
7;7.21979;0.943037;0.008306;0.999960;-0.003377;0.802567;0.999935;-0.008332;-0.007735;2.133476;-0.007763;-0.003313;-0.999964;0.431463;0.008039;0.999962;-0.003253;0.802263;0.999961;-0.008051;-0.003700;2.130945;-0.003726;-0.003223;-0.999988;0.431494;-0.036093;-0.000000;-0.000000;0.003023;0.000000;0.000000;-0.000874;0.057965;0.000000;0.007697;0.087481;-0.000000;
8;7.2797;0.950431;0.008259;0.999961;-0.003224;0.802474;0.999957;-0.008272;-0.004106;2.131271;-0.004132;-0.003190;-0.999986;0.431499;0.008051;0.999963;-0.003176;0.802246;0.999968;-0.008051;-0.000031;2.128790;-0.000057;-0.003176;-0.999995;0.431502;-0.035912;-0.000000;-0.000000;0.003008;0.000000;0.000000;-0.000787;0.061155;0.000000;0.001452;0.053158;-0.000000;
9;7.34833;0.962819;0.008162;0.999962;-0.003125;0.802386;0.999967;-0.008163;-0.000541;2.129129;-0.000567;-0.003120;-0.999995;0.431526;0.008063;0.999963;-0.003076;0.802228;0.999961;-0.008051;0.003753;2.126647;0.003729;-0.003106;-0.999988;0.431502;-0.035733;-0.000000;-0.000000;0.002993;-0.000000;0.000000;-0.001162;0.063086;0.000000;-0.006253;0.032187;0.000000;
10;7.40383;0.962819;0.008154;0.999962;-0.003025;0.802324;0.999962;-0.008144;0.003248;2.126908;0.003224;-0.003052;-0.999990;0.431543;0.008074;0.999963;-0.002976;0.802211;0.999939;-0.008052;0.007538;2.124513;0.007514;-0.003036;-0.999967;0.431494;-0.035554;-0.000000;-0.000000;0.002978;0.000000;0.000000;-0.001162;0.063086;0.000000;-0.000000;0.000000;-0.000000;
11;7.46399;0.962819;0.008154;0.999962;-0.002958;0.802284;0.999942;-0.008133;0.007117;2.124768;0.007093;-0.003016;-0.999970;0.431544;0.008085;0.999963;-0.002875;0.802194;0.999903;-0.008052;0.011322;2.122391;0.011299;-0.002967;-0.999932;0.431478;-0.035376;-0.000000;-0.000000;0.002963;0.000000;0.000000;-0.001162;0.063086;0.000000;-0.000000;-0.000000;-0.000000;
12;7.5237;0.949755;0.008093;0.999963;-0.002859;0.802234;0.999909;-0.008062;0.010841;2.122680;0.010818;-0.002946;-0.999937;0.431518;0.008097;0.999963;-0.002815;0.802177;0.999850;-0.008053;0.015307;2.120279;0.015284;-0.002938;-0.999879;0.431454;-0.035199;-0.000000;-0.000000;0.002948;0.000000;0.000000;-0.000470;0.066422;0.000000;0.011526;0.055598;-0.000000;
13;7.59599;0.946130;0.007924;0.999965;-0.002805;0.802169;0.999862;-0.007882;0.014623;2.120698;0.014600;-0.002921;-0.999889;0.431455;0.008108;0.999963;-0.002758;0.802160;0.999781;-0.008053;0.019292;2.118178;0.019269;-0.002913;-0.999810;0.431422;-0.035023;-0.000000;-0.000000;0.002933;0.000000;0.000000;-0.000418;0.066438;0.000000;0.000876;0.000270;-0.000000;
14;7.65572;0.946130;0.008038;0.999964;-0.002772;0.802155;0.999793;-0.007985;0.018694;2.118515;0.018671;-0.002921;-0.999821;0.431433;0.008119;0.999963;-0.002700;0.802143;0.999697;-0.008054;0.023277;2.116088;0.023255;-0.002888;-0.999725;0.431382;-0.034848;-0.000000;-0.000000;0.002918;-0.000000;0.000000;-0.000418;0.066438;0.000000;-0.000000;0.000000;-0.000000;
15;7.71588;0.948011;0.008063;0.999964;-0.002732;0.802144;0.999708;-0.007999;0.022783;2.116412;0.022761;-0.002915;-0.999737;0.431401;0.008130;0.999963;-0.002637;0.802126;0.999589;-0.008054;0.027504;2.114008;0.027481;-0.002860;-0.999618;0.431333;-0.034674;-0.000000;-0.000000;0.002903;0.000000;0.000000;-0.000478;0.070472;0.000000;-0.001003;0.067226;0.000000;
