message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
0;0;0.000000;0.783999;2.300008;0.186999;2.248996;2.178015;0.015024;
1;0.0520801;0.000000;0.784001;2.300000;0.186999;2.249007;2.178004;0.015024;
2;0.111854;0.000000;0.783941;2.300417;0.186996;2.248664;2.178356;0.015021;
3;0.171882;0.000000;0.784361;2.302166;0.186969;2.248388;2.178639;0.015020;
4;0.231881;0.000000;0.785308;2.304720;0.186911;2.248177;2.178880;0.015036;
5;0.291841;0.000000;0.786099;2.306951;0.186853;2.248385;2.178667;0.015038;
6;0.351852;0.000000;0.786795;2.309130;0.186831;2.248505;2.178543;0.015040;
7;0.41187;0.000000;0.787441;2.311230;0.186881;2.248629;2.178416;0.015042;
8;0.4719;0.000000;0.788151;2.313314;0.186956;2.248702;2.178341;0.015043;
9;0.531863;0.000000;0.788791;2.315304;0.186990;2.248753;2.178288;0.015044;
10;0.591945;0.000000;0.789404;2.317192;0.187031;2.248865;2.178174;0.015046;
11;0.651854;0.000000;0.790002;2.319083;0.187034;2.248894;2.178119;0.015031;
12;0.711868;0.000000;0.790610;2.320890;0.187050;2.248988;2.178006;0.014999;
13;0.771869;0.000000;0.791174;2.322604;0.187077;2.249033;2.177960;0.015001;
14;0.831884;0.000000;0.791728;2.324309;0.187114;2.249029;2.177964;0.015001;
15;0.891916;0.000000;0.792270;2.325987;0.187103;2.249046;2.177947;0.015002;
16;0.951934;0.000000;0.792811;2.327641;0.187102;2.249083;2.177908;0.015003;
17;1.01202;0.000000;0.793318;2.329252;0.187131;2.249057;2.177935;0.015003;
18;1.07195;0.000000;0.793808;2.330788;0.187114;2.249059;2.177933;0.015004;
19;1.13185;0.000000;0.794287;2.332295;0.187114;2.249045;2.177947;0.015005;
20;1.19187;0.000000;0.794736;2.333724;0.187129;2.249059;2.177933;0.015005;
21;1.25202;0.000000;0.795204;2.335142;0.187140;2.249024;2.177969;0.015006;
22;1.31201;0.000000;0.795676;2.336507;0.187134;2.249030;2.177963;0.015006;
23;1.37894;0.000000;0.796117;2.337867;0.187134;2.249035;2.177957;0.015007;
