message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
0;0;0.000000;0.784002;1.899998;0.187000;2.249009;2.177987;0.015005;
1;0.0518838;0.000000;0.783999;1.899999;0.186998;2.249016;2.177994;0.014995;
2;0.111825;0.000000;0.784112;1.900487;0.186999;2.249063;2.177947;0.014995;
3;0.171869;0.000000;0.784471;1.902335;0.187007;2.248865;2.178149;0.014995;
4;0.231777;0.000000;0.784875;1.905572;0.187028;2.248481;2.178544;0.014993;
5;0.291867;0.000000;0.785279;1.909697;0.187058;2.248411;2.178615;0.014995;
6;0.351743;0.000000;0.785702;1.914147;0.187089;2.248320;2.178708;0.014996;
7;0.411732;0.000000;0.786151;1.918234;0.187113;2.248557;2.178464;0.014999;
8;0.471856;0.000000;0.786623;1.922268;0.187129;2.248683;2.178336;0.015002;
9;0.532;0.000000;0.787071;1.926169;0.187144;2.248805;2.178210;0.015005;
10;0.591718;0.000000;0.787497;1.929991;0.187157;2.248905;2.178107;0.015007;
11;0.669515;0.000000;0.787923;1.933810;0.187158;2.248899;2.178113;0.015009;
12;0.753278;0.000000;0.788350;1.937309;0.187118;2.249182;2.177806;0.014987;
13;0.805868;0.000000;0.788824;1.940863;0.187047;2.249326;2.177658;0.014989;
14;0.865793;0.000000;0.789302;1.944719;0.187026;2.248791;2.178207;0.014987;
15;0.925832;0.000000;0.789702;1.948177;0.186990;2.248875;2.178120;0.014989;
16;0.986021;0.000000;0.790108;1.951534;0.186990;2.248924;2.178070;0.014991;
17;1.04599;0.000000;0.790529;1.954745;0.186993;2.249040;2.177951;0.014994;
18;1.10575;0.000000;0.790975;1.957996;0.187002;2.249018;2.177973;0.014995;
19;1.16576;0.000000;0.791377;1.961164;0.187010;2.248998;2.177994;0.014996;
20;1.22583;0.000000;0.791765;1.964316;0.187019;2.248976;2.178016;0.014998;
21;1.28575;0.000000;0.792176;1.967339;0.187025;2.249023;2.177968;0.015000;
22;1.34585;0.000000;0.792584;1.970203;0.187030;2.249027;2.177963;0.015001;
23;1.40977;0.000000;0.792945;1.972959;0.187036;2.249102;2.177886;0.015003;
24;1.4755;0.000000;0.793326;1.975792;0.187041;2.248984;2.178008;0.015003;
25;1.53011;0.000000;0.793701;1.978480;0.187045;2.249012;2.177997;0.015030;
26;1.59014;0.000000;0.794078;1.981188;0.187048;2.248974;2.178035;0.015031;
27;1.64981;0.000000;0.794440;1.983846;0.187052;2.248931;2.178080;0.015032;
28;1.70973;0.000000;0.794786;1.986356;0.187055;2.249024;2.177983;0.015034;
29;1.77776;0.000000;0.795099;1.988677;0.187057;2.249238;2.177764;0.015037;
30;1.83776;0.000000;0.795431;1.991154;0.187060;2.249090;2.177916;0.015036;
31;1.89788;0.000000;0.795743;1.993536;0.187062;2.249085;2.177921;0.015038;
32;1.95778;0.000000;0.796042;1.995867;0.187064;2.249039;2.177969;0.015038;
33;2.01773;0.000000;0.796334;1.998190;0.187066;2.249015;2.177993;0.015039;
